,0
0,Alabama
1,Alaska
2,Connecticut
3,Delaware
4,Florida
5,Georgia
6,Hawaii
7,Illinois
8,Indiana
9,Kentucky
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Mississippi
15,Missouri
16,New Hampshire
17,New Jersey
18,New York
19,North Carolina
20,Ohio
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,Tennessee
25,Vermont
26,Virginia
27,West Virginia
